idSong,songName,releaseDate
1,Born.,2021-10-01
2,Relationship these.,2018-03-06
3,Property theory.,1977-12-09
4,Near probably.,1984-04-20
5,Rock great.,2018-11-04
6,Politics change.,1988-01-13
7,Affect mother order.,2015-03-14
8,Together physical yourself.,2023-05-17
9,Focus whole accept.,1976-04-16
10,Which probably recently.,1982-11-08
11,Set staff inside.,2007-03-09
12,Community most.,1980-11-11
13,Tend.,2004-02-01
14,Once drop probably.,1978-01-19
15,Appear save.,1971-12-17
16,Store score.,1998-03-07
17,Memory summer three.,2018-04-01
18,Nice medical.,2015-05-18
19,Ok protect.,1986-07-26
20,Tough recognize state.,1971-01-07
